facilityId,facilityName,facilityClass,facilityType,belongCityId,phone,fax,url,email,address,photo,facility_service
22,新竹市殯葬管理所,公立,殯儀館,新竹市,03-5220179,03-5217162,http://dep-hcfaa.hccg.gov.tw/,hc7700@ems.hccg.gov.tw,新竹市東區成德路132號,,229322|大禮廰|3600元/節|無|229323|小禮廰|2400元/節|無|229324|靈堂|600元/天|無|229325|冷凍庫|300元/天|無|229326|停柩室|300元/天|無|232931|慎思廳||無|232704|靈位牌|500元/次(10天)|無|232926|景行廳||無|232927|追思廳||無|232928|景福廳||無|232929|仰德廳||無|232930|懷德廳||無|232242|悲傷輔導室|500元/次|無|232243|禮體淨身室|800元/次|無|232244|靈堂冷氣|500元/天|無|232245|入殮化妝室|200/次|無|232702|靈堂2樓|300元/天|無|232703|奠禮堂|500元/次|無
23,屏東市立殯儀館,公立,殯儀館,屏東縣,08-7221261,,http://163.29.244.12/releaseRedirect.do?unitID=183&pageID=3173,,屏東縣屏東市民生東路11巷11號,,229327|大型告別式場|$1500 / 廳||229328|小型告別式場|$1000 / 廳||229329|遺體冰凍暫存|$300 / 日||229330|停棺|$200 / 日||233052|懷德一廳|||233053|懷德二廳|||233054|靈堂||
24,枋寮鄉立殯儀館,公立,殯儀館,屏東縣,08-8791557,,https://www.pthg.gov.tw/townfto/cp.aspx?n=8049F859B5D90F94,,屏東縣枋寮鄉玉泉村青山路133號,196|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D8/E128/F871/166f6d00-02e7-45fb-90f7-255f7396bf13.jpg,229331|禮廳|$1500 / 次|枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|229332|遺體冰凍暫存|$300 / 日|枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233156|集合式大禮廳12||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233157|集合式大禮廳13||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233159|集合式大禮廳15||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233488|永行廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233150|集合式大禮廳6||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233151|集合式大禮廳7||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233152|集合式大禮廳8||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233153|集合式大禮廳9||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233154|集合式大禮廳10||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233155|集合式大禮廳11||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233061|永孝廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233062|永德廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233063|集合式大禮廳1||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233146|集合式大禮廳2||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233147|集合式大禮廳3||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233149|集合式大禮廳5||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233055|懷德廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233056|懷親廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233057|懷恩廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233058|永福廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233059|永親廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11|233060|永慈廳||枋寮鄉殯葬管理所：http://www.pthg.gov.tw/TownFto/CP.aspx?s=2109&n=12462&cp=11
25,彰化市立殯儀館,公立,殯儀館,彰化縣,04-7118284,04-7135348,http://mso.changhua.gov.tw,land@ems.changhua.gov.tw,彰化縣彰化市大埔路172號,,229333|禮廳|||229334|冰櫃室|||232843|彰愛廳|||233351|至孝廳|||233367|慈愛左廳|||233358|彰孝廳|||233359|彰仁廳|||233360|彰信廳|||233361|彰義廳|||233362|彰和廳|||233363|彰平廳|||233352|懷德廳|||233353|懷恩廳|||233354|景福廳|||233355|明孝廳|||233356|慈愛廳|||233357|彰忠廳||
27,花壇鄉第十公墓-簡易殯儀館,公立,殯儀館,彰化縣,04-7865921#111,,,ntws83@ems.huatan.gov.tw,彰化縣花壇鄉永春段三芬路328號,,229336|簡易禮堂||附屬於公墓，只為一個空間，實際上無殯儀館功能。
28,秀水鄉第十八公墓-簡易殯儀館,公立,殯儀館,彰化縣,04-7697024#216,,,,彰化縣秀水鄉福安村民華巷130號,,229337|簡易禮堂||附屬於納骨塔，只為一個空間，實際上無殯儀館功能。
29,田中鎮第五公墓-簡易殯儀館,公立,殯儀館,彰化縣,04-8751426,,http://www.tienchun.gov.tw/modules/tinyd5/index.php?id=4,,彰化縣田中鎮三安里同安路464號,,229338|禮廳|||229339|冰櫃室||
30,嘉義市立殯儀館,公立,殯儀館,嘉義市,05-2891414,05-2890593,http://www.ccmso.gov.tw,cycg241@ems.chiayi.gov.tw,嘉義縣水上鄉南鄉村牛稠埔100之13號,,"229340|甲級禮聽-景德廳|3,000元/節；冷氣3,000元/節||229341|乙級禮廳-景福廳|2,000元/次；冷氣1,500元/節||229342|丙級禮廰-懷德堂|1,000元/次；冷氣500元/節||229343|冷凍庫冷凍|500元/天||229344|停柩|300元/天||232641|解剖室|每次300元||232642|化妝室|200元/每小時||232769|丙級禮廳-懷恩堂|||232770|丙級禮廳-福德堂|||232771|丙級禮廳-福安堂|||232842|小靈位(下)|每天100元||232636|小靈位(上)|每天200元|"
31,金門縣殯葬所(仙州福園)-殯儀館,公立,殯儀館,金門縣,082-322379,082-322791,http://kmms.kinmen.gov.tw/,J241rec@mail.kinmen.gov.tw,金門縣金寧鄉榜林村東洲68號,194|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D0/E245/F22/79d08f94-f4d7-465c-a5ba-bd298e63589f.jpg|195|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D26/E908/F823/8fca07e4-627a-476d-b5f0-bcb851ebf94c.jpg,229345|甲、乙級禮堂|$2500~$4000元 / 場||229346|冷藏室|$200 / 日||232341|停棺|||232344|殯儀設施收費標準表|||232851|懷恩堂|||232852|景賢堂|||232853|明義堂||
33,臺南市殯葬管理所－新營福園殯葬專區,公立,殯儀館,臺南市(臺南市),06-6594441#12,06-6568997,http://www.msotc.gov.tw/,,臺南市(臺南縣)新營區(新營市)長榮路二段468巷303號,179|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D20/E425/F298/53845509-0a7e-48bc-857c-962931bda5d8.jpg|124|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D12/E684/F416/4bf5d025-5941-4004-83ac-2547445325e2.jpg,229350|大型禮廳|3500元/次||229351|中型禮廳|2500元/次||229352|小型禮廳|2000元/次||229353|3F冰櫃室|500元/天||233257|守靈室-08|||233258|守靈室-09|||233259|守靈室-11|||233251|守靈室-01|||233252|守靈室-02|||233253|守靈室-03|||233254|守靈室-05|||233255|守靈室-06|||233256|守靈室-07|||233040|景行廳|||233041|景德廳|||233042|景福廳||
35,臺北市立第一殯儀館,公立,殯儀館,臺北市,02-25131057,,https://mso.gov.taipei/News_Content.aspx?n=8B8FA613521B4946&sms=D0D17DA9FD0947EB&s=B76439F73B25D13F,,臺北市中山區民權東路2段145號,200|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D20/E555/F166/732ee1ca-a112-4c9f-ad76-218d0f9465a8.bmp|201|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D2/E570/F198/441d5592-65f8-481e-869f-18eab48bf92a.bmp|202|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D30/E467/F727/2721989e-3adf-4c34-8855-6858f829109f.bmp|203|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D23/E614/F288/f147df39-0091-43d1-835e-d8a9af6f34a7.bmp|204|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D29/E733/F848/d5bada49-7cbe-48d4-9e49-ff5b1b24a62e.bmp|205|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D4/E202/F869/7aec0763-1fa5-4a20-b6bc-33cafbd6dc23.bmp|206|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D30/E627/F458/3c6d7c16-beaf-4a4d-bb37-ae2b4130c3ae.bmp,229359|冷藏櫃|400元/天||229360|甲級禮廳-景行廳|原價日：1800元/時||229361|乙級禮廳-懷德廳|原價日：750元/天||229362|丙級禮廳-大覺廳|原價日：600元/天||229363|丁級禮廳-永懷廳|原價日：225元/時||232790|乙級禮廳-福壽廳|||232791|丙級禮廳-安順廳|||232793|丙級禮廳-慎終廳|||232794|丁級禮廳-永念廳|||232795|丁級禮廳-永親廳|||232797|丁級禮廳-永愛廳|||232276|丁級禮堂冷氣費|150元/時||232348|收費標準表|||232476|寄存|||232273|甲級禮堂冷氣費|1200元/時||232274|乙級禮堂冷氣費|450元/時||232275|丙級禮堂冷氣費|300元/時|
36,臺北市立第二殯儀館,公立,殯儀館,臺北市,02-87329790,,https://mso.gov.taipei/News_Content.aspx?n=8B8FA613521B4946&sms=D0D17DA9FD0947EB&s=B76439F73B25D13F,,臺北市大安區辛亥路3段330號,207|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D23/E195/F106/102a3bb9-96b7-4db9-94b6-ecc0c24c3ed4.bmp|208|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D17/E634/F850/b14f6669-23eb-4ecd-88e5-3d2d51c2281b.bmp|209|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D5/E25/F25/802236b7-bdcc-4fcf-8984-9f93a7b18319.bmp|210|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D16/E572/F115/10cc46b8-f455-4980-a3f5-8608d74078c7.bmp|211|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D24/E969/F129/5f290a8a-e2f7-49f5-bf7d-9489af33b4a5.bmp|213|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D3/E682/F841/ef1adbbc-4c87-4d7a-909b-7d80895f4c8d.bmp,229364|冷藏櫃|400元/天||232277|甲級禮堂冷氣費|1200元/時||232278|乙級禮堂冷氣費|450元/時||232279|丙級禮堂冷氣費|300元/時||232922|至善3廳|||232923|至美3廳|||232924|至善4廳|||232925|至美4廳|||232916|至善1廳|||232917|至美1廳|||232918|至真2廳|||232919|至真3廳|||232920|至美2廳|||232921|至善2廳|||232915|至真1廳||
37,臺東市立殯儀館,公立,殯儀館,臺東縣,089-230016,089-230026,,y002@taitungcity.gov.tw,臺東縣台東市民航路200巷150號,,229369|慎終廳|3000元/次|無|229370|冷凍櫃|300元/天|無|229372|停棺室|800元/天|無|232808|追遠廳||無|233369|愛廳||無|233370|禮廳||無|233371|智廳||無|233372|信廳||無|233346|松廳||無|233347|柏廳||無|233348|蘭廳||無|233349|竹廳||無|233350|菊廳||無|233368|仁廳||無
38,高雄市殯葬管理處第二殯儀館仁武本館,公立,殯儀館,高雄市(高雄市),07-3718159,07-3729537,http://mso.kcg.gov.tw/main/index.php,cabmso@kcg.gov.tw,高雄市(高雄縣)仁武區(仁武鄉)文學三街167號,139|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D6/E435/F309/e4c486f1-24bb-4141-85e7-16285ee25e93.jpg,229374|奠禮堂|3000元/次|無|229375|冷凍室|500元/天|無|229376|停棺室|300元/天|無|232890|懷寧堂||無|232891|懷超堂||無|232892|懷恩堂||無|232935|懷德堂||無|232936|懷慈堂||無
39,桃園市八德區大安公墓,公立,公墓,桃園市,03-3678360,,,,桃園市八德區大湳段846等18筆,,232952|大安公墓墓基|45000|
40,八德區第八公墓,公立,公墓,桃園市,03-3683155#215,,,,桃園市八德區下庄子段404,,229378|忠區|||229379|孝區|||229380|仁區|||229381|愛區|||229382|信區||
41,中壢區第三公墓,公立,公墓,桃園市,03-4522944,,,moi020@mail.tycg.gov.tw,桃園市中壢區成功段28、604號,,
43,中壢區第五公墓,公立,公墓,桃園市,03-4522944,03-4617939,,moi020@mail.tycg.gov.tw,桃園市中壢區水尾段水尾小段451、452、452-3地號,,
45,中壢區第八公墓,公立,公墓,桃園市,03-4522944,03-4617939,,moi020@mail.tycg.gov.tw,桃園市中壢區三民段339、340、346地號,,
47,中壢區第十一公墓,公立,公墓,桃園市,03-4522944,03-4617939,,moi020@mail.tycg.gov.tw,桃園市中壢區內厝段966地號,,
48,中壢區第十二公墓,公立,公墓,桃園市,03-4522944,03-4617939,,moi020@mail.tycg.gov.tw,桃園市中壢區山下段57地號,,
49,觀音區第一(白玉)公墓,公立,公墓,桃園市,03-4732121分機 228,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區白玉里,,229391|墓基||
50,觀音區第二(廣興)公墓,公立,公墓,桃園市,03-4732121,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區廣興里,,229392|墓基||已公告全面禁葬
51,觀音區第三(大潭)公墓,公立,公墓,桃園市,03-4732121 #228 #224,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區大潭里,,229393|墓基||
52,觀音區第四(保生)公墓,公立,公墓,桃園市,03-4732121,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區保生里,,229394|墓基||已公告全面禁葬
53,觀音區第五(上大)公墓,公立,公墓,桃園市,03-4732121,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區上大里,,229395|墓基||已公告全面禁葬
54,觀音區第六(大堀)公墓,公立,公墓,桃園市,03-4732121,,http://www.guanyin.tycg.gov.tw/,,桃園市觀音區大堀里,,
