停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
公有收費停車場,9043,府前路停18停車場,臺南市中西區府前路國立生活美學館側,,-1,0,54,2,2,2,22,0,8:00-22:00,汽車：20元/時 機車：免費,22.992163，120.188954,1060601收費-1070314重鋪後開放增2格
公有收費停車場,9046,南門路237巷停車場,臺南市中西區南門路237巷3號右側1061110收費,,-1,0,4,1,1,1,0,0,8:00-22:00,20元/時,22.983234，120.204315,面積222平方公尺
公有收費停車場,9049,府前金城臨時停車場,臺南市中西區府前路二段258巷與府前路巷交叉口,06-2141798,-1,0,7,1,0,0,0,0,8:00-22:00,20元/時,22.992424，120.190714,1070129收費
公有收費停車場,9050,321巷藝術聚落路外停車場,臺南市北區公園路321巷尾端,06-2141798,-1,0,10,1,1,1,25,1,8:00-22:00,20元/時,23.004287，120.208852,107/02/21收費
公有收費停車場,9051,永華國華臨時路外停車場(汽車停車格),臺南市南區永華路及國華街交叉口,,-1,0,5,0,0,0,21,1,8:00-22:00,汽車：20元/時 機車：20元/計次,22.987132，120.196353,1070221收費(原8001機車15格塗銷改為出入口)
公有收費停車場,9055,大成路一段臨時停車場,臺南市南區大成路一段與水交社路交叉口,2141798,-1,0,102,2,2,2,36,1,8:00-22:00,小型車計時收費(20元/時) 機車免費停放 路外停車場月票3000元 里民優惠月票(指定停放本場)1600元,22.974960，120.200352,公告於1070501收費 原48.107.108格磨除
公有收費停車場,9056,中華路橋下西側路外停車場,臺南市東區中華陸橋西側正下方至里民活動中心前方,,-1,0,60,2,2,2,115,0,8:00-22:00,20元/時 3000元路外停車場月票 1600元指定路外停車場月票(大福里;崇明里),22.972502，120.215632,原為1431中華陸橋下西側廣場停車場1041015公告收費-1070601公告改為9056中華陸橋下西側路外停車場-1805平方公尺
公有收費停車場,9057,立德臨時停車場-B區(竑穗興業股份有限公司),臺南市東區立德一路至立德路交叉路口(立德一路東側),06-2289846及0926-700388,-1,0,15,1,1,8,0,0,24小時,20元/時,22.976699，120.214742,108/3/1委外收費-2215099及2289846及2132088
公有收費停車場,9058,立德臨時停車場-C區(竑穗興業股份有限公司),臺南市東區立德一路及立德七路交叉口(立德一路東側),06-2289846及0926-700388,-1,0,41,1,1,0,0,0,24小時,20元/時,22.976420，120.214781,108/3/1委外收費2215099及2289846及2132088
公有收費停車場,9059,立德臨時停車場-D區(竑穗興業股份有限公司),臺南市東區立德一路與立德六路交叉口(立德一路東側),06-2289846及0926-700388,-1,0,17,1,1,0,0,0,24小時,20元/時,22.976094，120.214846,108/3/1委外收費-2215099及2289846及213208
公有收費停車場,9060,立德臨時停車場-E區(竑穗興業股份有限公司),臺南市東區立德一路與立德一路3巷交叉口,06-2289846及0926-700388,-1,0,14,1,1,0,0,0,24小時,20元/時,22.975831，120.214721,108/3/1委外收費-2215099及2289846及2132088
公有收費停車場,9061,立德臨時停車場-F區(竑穗興業股份有限公司),臺南市東區立德一路與立德一路4巷交叉口,06-2289846及0926-700388,-1,0,14,1,1,0,0,0,24小時,20元/時,22.976132，120.214663,108/3/1委外收費-電話:2215099及2289846及2132088
公有收費停車場,9062,立德臨時停車場-G區(竑穗興業股份有限公司),臺南市東區立德一路及立德一路5巷交叉口,06-2289846及0926-700388,-1,0,12,1,1,0,0,0,24小時,20元/時,22.976392，120.214602,108/3/1委外收費-電話2215099&#43;2289846&#43;
公有收費停車場,9063,南門路231巷臨時停車場,臺南市中西區南門路231巷近慶中街,06-2141798,-1,0,9,1,0,0,0,0,08:00-22:00,20元/時,22.983486，120.205086,
公有收費停車場,9066,崇善里文康活動中心停車場,臺南市東區仁和路70巷內,06-2141798,-1,0,17,2,1,1,16,1,08:00-22:00,汽車：20元/時 機車：免費,22.975473，120.229694,108/3/1公告收費
公有收費停車場,9067,小橋公園停車場,臺南市永康區東橋三路與東橋八街交叉口,,-1,0,44,1,1,1,0,0,8:00-22:00,20元/時,23.021144，120.233703,1080501收費
公有收費停車場,9068,東橋五路二號公園停車場,臺南市永康區東橋五路23號對面,06-2141798,-1,0,23,1,1,1,18,0,8:00-22:00,20元/時,23.019268，120.236878,1080501收費
公有收費停車場,9069,健康路一段133巷停車場,臺南市南區健康路一段133巷內,06-2141798,-1,0,55,2,2,1,0,0,8:00-22:00,20元/時,22.978398，120.208784,1080501收費
公有收費停車場,9071,北安路一段212巷停車場,臺南市北區北安路一段212巷與22弄交叉口,06-2141798,-1,0,20,1,1,1,0,0,8:00-22:00,20元/時,23.018934，120.208330,108/8/1收費
公有收費停車場,9072,文賢路365巷停車場,臺南市北區文賢路365巷與365巷18弄轉交叉口,06-2141798及2136544,-1,0,18,0,0,0,0,0,8:00-22:00,20元/時,23.008101，120.193179,108/8/15收費
公有收費停車場,9073,國民路臨時停車場,臺南市南區國民路443-5號旁(殯儀館明德門對面),06-2141798,-1,0,100,3,3,3,0,0,8:00-22:00,20元/時,22.970373，120.208355,土地所有權人：臺南市殯葬管理所
公有收費停車場,9074,大興四路外停車場,臺南市北區大興街67巷內,06-2141798,-1,0,27,2,1,0,0,0,8:00至22:00,20元/時,23.013189，120.192037,
公有收費停車場,9075,南島路市政園區路外停車場,臺南市安平區臺南市安平區永華路2段6號,,-1,0,160,6,6,12,645,3,每日上午8時至下午10時,(一)上班時段：洽公民眾上班日，前1小時免，第2小時起，每小時20元，每日最高收費100元(收費時間8時至18時)。 (二)非上班時段:一般民眾，以每小時20元計收(星期一至星期五18時至22時，例假日及國定假日為8時至22時)。 機車免費,22.990603，120.184917,06-2138172
公有收費停車場,9078,大港觀海橋路外停車場,臺南市北區中華北路一段263巷旁橋下空間,06-2138172,-1,0,22,1,1,1,0,0,上午8時至下午22時,每小時20元,23.012169，120.184397,公有收費停車場
公有收費停車場,9080,建平八街路外停車場,臺南市安平區建平八街與永華三街交叉口郵局對面,06-2138172,-1,0,44,1,2,2,4,1,上午8時至下午22時,每小時20元,22.990713，120.181430,1090601收費，公有收費停車場
公有收費停車場,9081,德祥街路外停車場,臺南市東區德祥街100號對面，德祥街與德昌二街交叉口,06-2138172,-1,0,72,2,2,1,0,0,上午8時至下午22時,每小時20元,22.967387，120.237110,公有收費停車場
公有收費停車場,9082,大林路111巷路外停車場,臺南市南區大林路111巷內，大林公園南側,06-2138172,-1,0,28,1,1,0,0,0,上午8時至下午22時,每小時20元,22.974214，120.211842,公有收費停車場
公有收費停車場,9083,公園路路外停車場,臺南市北區臺南轉運站出口北側與公園路295巷間,2138172轉8219,-1,0,75,2,2,2,323,7,收費時間(08:00-22:00),汽車計時每小時20元，機車計次每日20元。,23.002775，120.209481,
公有收費停車場,9084,忠烈祠路外停車場,臺南市南區健康路一段忠烈祠牌樓後,2138172轉8219,-1,0,45,1,2,1,31,1,上午8時至下午22時,汽車每小時20元，機車免費,22.981001，120.210683,公有收費停車場，1090620開始收費
公有收費停車場,9085,大林路路外停車場,臺南市南區大林路大林國宅後方,2138172轉8219,-1,0,70,1,2,1,43,1,上午8時至下午22時,每小時20元,22.976627，120.212107,公有收費停車場1090620開始收費
公有收費停車場,9086,建平十二街路外停車場,臺南市安平區建平十二街與府前四街交叉口,2138172轉8219,-1,0,71,2,2,2,21,1,上午8時至下午22時,汽車每小時20元，機車免費。,22.994894，120.184870,1090701開始收費
公有收費停車場,9087,體育路路外停車場,臺南市南區體育路歡喜樓餐廳與極限運動場間空地,06-2138172,-1,0,30,2,2,2,0,0,上午8時至下午22時,每小時20元,22.978790，120.207389,1090620開始收費
公有收費停車場,9088,東橋十一路路外停車場,臺南市永康區東橋十一路與東橋十街交叉口,2138172,-1,0,72,2,2,2,275,6,上午8時至下午22時,汽車每小時20元，機車免費,23.025376，120.237030,1090701開始收費
公有收費停車場,9089,新美街50巷路外停車場,臺南市中西區新美街50巷2號旁,2138172,-1,0,8,1,1,0,0,0,上午8時至下午22時,每小時20元,22.995106，120.200622,1090801開始收費
公有收費停車場,9090,中興新城路外停車場,臺南市北區前鋒路上(小東路與東豐路間),2138172,-1,4,168,3,3,0,0,0,每日上午8時至下午22時,小型車每小時20元，大型車每小時40元,23.002686，120.214815,1090801開始收費
公有收費停車場,9091,前鋒路路外停車場,臺南市東區前鋒路博愛國小對面,2138172,-1,0,9,1,0,0,0,0,上午8時至晚上22時,每小時20元,22.992823，120.212899,1090901開始收費
公有收費停車場,9092,東橋五路路外停車場(小型車),臺南市永康區東橋五路與東橋十二街交叉口,06-2138172/2141798/2136544,-1,0,55,2,2,2,4,0,上午8時至下午22時,每小時20元,23.024242，120.234037,109年10月2日開始收費
公有收費停車場,9093,文忠文孝路外停車場,臺南市仁德區仁德區文忠路與文孝路交叉口,2796145,-1,0,106,3,0,0,0,0,上午8時至下午22時,每小時20元,22.972808，120.238594,辦公區域含廁所不對外開放
公有收費停車場,9095,星鑽街路外停車場,臺南市中西區中西區星鑽街旁,2138172,-1,0,46,2,2,1,30,0,08:00-22:00,每小時20元,22.994819，120.190655,1100401開始收費
公有收費停車場,9096,大橋里活動中心路外停車場,臺南市永康區大橋里活動中心東側及南側停車格,2138172,-1,0,28,1,0,0,0,0,8:00至22:00,每小時20元,23.020674，120.229056,110年2月1日開始收費
公有收費停車場,9097,體育園區羅公亭路外停車場,臺南市南區大林路與體育路交叉口,2138172,-1,0,25,1,1,1,0,0,08:00-22:00,每小時20元,22.974170，120.207370,1100201開始收費
公有收費停車場,9098,林森路一段58巷路外停車場,臺南市東區林森路一段56巷與58巷交叉處,2138172,-1,0,10,1,1,0,0,0,08:00-22:00,每小時20元,22.980795，120.212881,1100501開始收費，非都市計畫區
公有收費停車場,9101,河中街路外停車場,臺南市中西區中西區河中街與河中街43巷交叉口,2138172,-1,0,10,1,1,0,0,0,08:00-22:00,每小時20元,22.995886，120.193263,1100501收費，非都市計畫區
公有收費停車場,9102,大勇街92巷路外停車場,臺南市中西區府前路二段235巷與金華路三段92巷交叉口,2138172,-1,0,26,1,1,1,0,0,08:00-22:00,每小時20元,22.990395，120.191033,1100601收費，非都市計畫區
公有收費停車場,9104,文心文孝路外停車場,臺南市仁德區仁德區文心路與文孝路交叉口,2138172,-1,22,136,3,3,2,72,2,08:00至22:00,小型車每小時20元，大型車每小時40元,22.971606，120.240831,1100801開始收費，位都市計畫區
公有收費停車場,9105,忠孝路路外停車場,臺南市永康區永康區忠孝路永仁高中對面,2138172,-1,0,62,2,2,2,0,0,08:00-22:00,每小時20元,23.003239，120.239926,都市計畫區
公有收費停車場,9106,忠孝運動公園路外停車場,臺南市永康區永康忠孝路納骨塔北側停車場,2138172,-1,0,175,5,5,3,19,0,08:00-22:00,計次收費，每6小時1次收費30元,23.014790，120.243006,1101101收費都市計畫區
公有收費停車場,9107,九六新村路外停車場,臺南市北區和緯路一段與精忠街28巷交叉口,2138172,-1,0,103,2,2,2,0,0,08:00-22:00,每小時20元,23.009299，120.214992,1101201開始收費，都市計畫區內
公有收費停車場,9108,福德公園路外停車場,臺南市北區臨育德三街46巷，福德公園旁,2138172,-1,0,7,0,0,0,0,0,08:00-22:00,每小時20元,23.013370，120.202192,110年12月15日開始收費，都市計畫區內
公有收費停車場,9109,善化火車站路外停車場,臺南市善化區善化火車站南側光文路旁,2138172,-1,0,77,2,2,1,499,10,08:00-22:00,汽車每小時20元，機車每次20元/1天,23.132175，120.305980,1110103收費，都市計畫區
公有收費停車場,9110,大成陸橋路外停車場,臺南市善化區大成陸橋下停車空間,2138172,-1,0,49,2,2,1,0,0,08:00-22:00,每小時20元,23.130766，120.305697,1110103收費
公有收費停車場,9111,光文陸橋路外停車場,臺南市善化區光文陸橋下空間,2138172,-1,0,25,2,0,0,95,0,08:00-22:00,汽車每小時20元，機車每次20元/1日(隔日另計),23.136102，120.308710,1110103收費，非都市土地
公有收費停車場,9112,永成路路外停車場,臺南市南區永成路與大成路交叉口,2138172,-1,0,6,0,0,0,10,0,0800-2200,每6小時1次收費30元,22.974649，120.195453,1110115計次收費，都市計畫區
公有收費停車場,9114,湖美一街路外停車場,臺南市中西區湖美一街與湖美街60巷交叉口,2138172,-1,0,96,1,2,0,0,0,0800-2200,計次收費，每6小時30元,23.001354，120.180457,都市計畫區，1110215計次收費
公有收費停車場,9115,湖美街60巷路外停車場,臺南市中西區湖美街60巷西湖社區活動中心旁,2138172,-1,0,32,1,1,1,0,0,0800-2200,計次收費，每6小時30元,23.001356，120.180480,1110215收費，都市計畫區
公有收費停車場,9116,高鐵停一路外停車場,臺南市歸仁區歸仁高鐵特區,2138172,-1,0,77,2,1,2,129,4,08:00-22:00,每小時20元,22.926991，120.288528,都市計畫區，1110210收費
公有收費停車場,9117,高鐵停二路外停車場,臺南市歸仁區歸仁,2138172,-1,0,86,2,1,2,86,2,08:00-22:00,每小時20元，機車免費,22.924995，120.289536,高鐵特區1110210收費
公有收費停車場,9118,高鐵停三路外停車場,臺南市歸仁區站后一路旁,2138172,-1,0,70,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元,22.929906，120.285985,高鐵特區，1110210收費
公有收費停車場,9119,高鐵停五路外停車場,臺南市歸仁區站,2138172,-1,0,31,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位重新計算,22.928947，120.286500,高鐵特區1110210收費
公有收費停車場,9120,高鐵停五路外停車場,臺南市歸仁區站后一路旁,2138172,-1,0,33,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.928077，120.286903,高鐵特區，1110210收費
公有收費停車場,9121,高鐵停六路外停車場,臺南市歸仁區武當路旁,2138172,-1,0,39,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.928314，120.282376,高鐵特區，1110210收費
公有收費停車場,9122,高鐵停七路外停車場,臺南市歸仁區武當路旁,2138172,-1,0,33,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.927365，120.282901,高鐵特區1110210收費
公有收費停車場,9123,高鐵停八路外停車場,臺南市歸仁區武當路旁,2138172,-1,0,33,2,2,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.926555，120.283341,高鐵特區，1110210收費
公有收費停車場,9124,高鐵廣停一路外停車場,臺南市歸仁區歸仁八路與高鐵二路交叉口,2138172,-1,0,96,1,1,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.927000，120.281356,高鐵特區11102110收費
公有收費停車場,9125,高鐵廣停二路外停車場,臺南市歸仁區高鐵一路與歸仁十二路交叉口,2138172,-1,0,97,1,1,1,0,0,08:00-22:00,每小時20元，每日最高100元，變換格位另計,22.921871，120.283363,高鐵特區1110210收費
公有收費停車場,9126,開元路73巷路外停車場,臺南市北區北區開元路73巷，舊勝安里活動中心(已拆除),2138172,-1,0,15,1,0,0,10,1,08:00-22:00,每小時20元，機車免費,23.006594，120.217110,1110601開始收費
公有收費停車場,9127,興國街路外停車場,臺南市永康區興國街與復華一街路口,2138172,-1,0,14,1,1,0,0,0,0800-2200,每小時20元,23.005334，120.242690,111年9月15日開始計時收費
公有收費停車場,9128,尚頂停車場,臺南市永康區中華路與南台街交叉口飛雁新村,2138172,-1,0,143,4,2,2,29,1,0800-2200,汽車每小時20元，機車免費,23.022298，120.220683,1111001收費，都市計畫區
公有收費停車場,9805,永華國華臨時路外停車場(機車停車格),臺南市南區國華街與永華路交叉口(藍曬圖文創園區後門),,-1,0,0,0,0,0,21,1,8:00-22:00,機車20元/計次(鄰近之小型車停車格-20元/時),22.987132，120.196353,1070221收費
公有收費停車場,A00051,崇善路龍山停車場(台灣國際事業開發有限公司營運),臺南市東區崇善路51號旁(竹篙厝段1678-66(部分)、1679-3、1680(部分)地號,06-335-0999,92,0,144,4,3,7,21,1,24小時,汽車:(1)臨停:入場未滿半小時免費，爾後每半小時10元，未滿半小時仍以半小時計算;(2)月租:每月2，100元.機車免費,22.982593，120.221534,到期日:109.07.13
公有收費停車場,A00061,東光路地下停車場(台灣國際開發事業有限公司營運),臺南市東區東光路1段76號,06-208-7743(現場),48,0,231,6,6,9,0,0,24小時,臨停20元/時，停車未滿1小時者，以1小時計費。停車時數逾1小時以上，其超過之不滿1小時部分，如不逾30分鐘者， 以半小時計算；如逾30分鐘者，仍以1小時計算收費。 月租每月3，000元。,22.992491，120.231296,公辦民營 到期日:106.12.09
公有收費停車場,A00111,公園南路停車場(俥亭停車事業股份有限公司經營),臺南市北區海安路與公園南路口,06-221-0036(現場),129,10,254,6,6,14,0,0,24小時,計時：小型車每小時收費30元(以30分鐘15元計收) 計時：大型車每小時收費60元(以30分鐘30元計收) 計月：小型車每月月租收費3，000元。 ,23.002911，120.200498,公辦民營 到期日:115.03.31
公有收費停車場,A00131,臺南市榮譽街停車場(竑穗興業股份有限公司營運),臺南市東區榮譽街與崇明路口,06-2289846及0926-700388,204,0,323,9,10,10,157,8,24小時,小型車臨時停車:每小時20元，未滿1小時以1小時計費，超過1小時部分每半小時10元 當日最高200元 小型車月租:2，200元/月 機車:暫不收費,22.976453，120.220222,1060410正式啟用-到期日:111.03.31 1060410委外
公有收費停車場,A00141,臺南萬昌街停車場(竑穗興業股份有限公司經營),臺南市中西區青年路226巷6弄路口(中西區萬昌段240-1、241地號),06-2289846及0926-700388,11,0,24,1,1,1,0,0,24小時,臨停費率:第1小時(內)收費20元，爾後每增加半小時加收10元，當日最高收費200元 月租部份:2，200元,22.991089，120.210416,1060525點交委外 到期日:109.05.24
公有收費停車場,A00151,臺南環河街停車場(竑穗興業股份有限公司營運),臺南市中西區環河街62號(中西區康樂段541-1、543等11筆地號),06-2289846及0926-700388,10,0,30,2,1,1,0,0,24小時,臨停費率:第1小時(內)收費20元，爾後每增加半小時加收10元，當日最高收費200元 月租:2200元,22.993177，120.192101,104.12.20開始收費 1060525點交委外 到期日:109.05.24
公有收費停車場,A00161,臺南客家文化會館停車場(竑穗興業股份有限公司經營),臺南市南區夏林路4號旁基地(南區正義段190地號),06-2289846及06-2215099,-1,0,31,1,1,1,0,0,24小時,臨停費率:第1小時(內)收費20元，爾後每增加半小時加收10元，當日最高收費200元 月租部份:2200元,22.985834，120.194661,1060525點交委外 到期日:109.05.24
公有收費停車場,A00511,民生路停車場(日月亭股份有限公司營運),臺南市中西區民生路二段400巷西側(原警察局拖吊場),06-2223863(日)221-0036(夜),9,0,106,6,6,6,46,2,24小時 ,汽車：20元/時 機車：免費 ,22.997925，120.188223,107.1.1年委外收-連絡電話06-2214597
公有收費停車場,A00531,東橋八街停車場(日月亭股份有限公司經營),臺南市永康區東橋八街與東橋三街口,06-3121033,37,0,85,2,2,2,0,0,24小時,依現場公告規範為主,23.020744，120.233519,107.01.01委外收費
公有收費停車場,A00541,體育之心路外停車場,臺南市南區南門路市立體育場西側,,-1,0,108,3,3,3,250,0,08:00~22:00,汽車：20元/時 機車：免費,22.978370，120.204934,
公有收費停車場,A00561,新化廣停二地下停車場,臺南市新化區臺南市新化區中正路498號,06-5905599,15,0,52,2,2,1,0,0,24小時,計次:每次50元 月租:每月1600元,23.038374，120.307532,公辦民營(新化區公所管轄) 傑伶有限公司經營
公有收費停車場,A00581,大興公園停車場,臺南市北區大興街(好市多正後方),,164,0,150,8,3,3,0,0,08:00~22:00 ,20元/時,23.0117569，120.1928463,
公有收費停車場,A00591,大豐公園停車場,臺南市北區和緯路與武聖路交叉口,,16,0,18,1,1,1,0,0,每日08:00~22:00 ,20元/時,23.0074151，120.1874729,
公有收費停車場,A00601,停2路外停車場(南側),臺南市安平區建平16街近中華西路南側,,54,0,66,2,2,4,0,0,08:00~22:00 ,20元/時 ,22.996565，120.185636,
公有收費停車場,A00850,育平九街停車場,臺南市安平區育平九街與國平路交叉口,06-2136544,15,0,72,1,1,1,134,2,08;00-22:00,汽車20元/時-機車免費,22.995272，120.171261,委外收費06-2981896
公有收費停車場,A00880,龍山里臨時停車場(第一區),臺南市東區東門路二段158巷,,0,0,23,1,0,0,0,0,每日8:00-22:00,20元/時,22.984126，120.220115,
公有收費停車場,A00890,龍山里臨時停車場(第二區),臺南市東區府東街21巷,,0,0,45,2,1,1,49,0,每日8:00-22:00,20元/時；機車免費,22.984633，120.219869,東門路二段158巷及府東街21巷1060301收費
公有收費停車場,A00920,德光里活動中心停車場,臺南市東區東區崇德路德光里活動中心旁附設停車場,2141798,0,0,27,2,1,1,24,2,8:00-22:00,小型車20元/時 機車免費,22.979957，120.219151,1061201公告收費
公有收費停車場,A00990,竹溪街停車場,臺南市南區竹溪街及健康路一段33巷交叉口,06-2141798,19,0,21,1,0,1,0,0,8:00-22:00,小型車計時收費(20元/時) 機車免費停放 路外停車場月票3000元 里民優惠月票(指定停放本場)1600元,22.979499，120.210108,107/05/01收費 800平方米 代號：9054
公有收費停車場,A01010,成德停四路外停車場,臺南市北區育德二路與立賢路一段650巷交叉口,06-2138172,3,0,88,2,2,1,0,0,上午8時至下午22時,每小時20元,23.008711，120.202871,公有收費停車場(9079)
公有收費停車場,A01020,賢北街停車場,臺南市北區賢北街與大興街交叉口,06-2136544,-1,0,50,2,2,3,64,2,08:00-22:00,汽車20元/時-機車免費,23.008936，120.182962,委外收費06-2981896
公有收費停車場,A01121,西門路育賢停車場(俥亭停車事業股份有限公司經營),臺南市北區西門路4段341巷內,06-221-0036(公園南路停車場),2,0,26,1,1,1,0,0,24小時,臨停部份:每小時20元，停車時數逾1小時以上，每半小時10元；每日最高200元。 月租部份:每月2，000元。,23.015601，120.208744,公辦民營 到期日:108.12.31
公有收費停車場,A01131,大學路(社E2)停車場(台灣國際開發事業有限公司營運),臺南市東區大學路西段53號西側(東區育樂段302、302-1、302-2地號等3筆土地),06-2087743,48,0,150,3,3,3,100,5,24小時,一、小型車:1.臨停每小時20元未滿1小時者，以1小時計.2.月租每月3，000元二、機車:臨停每日每次20元，計價至午夜12點，隔日另計.2.月租每月600元.,22.996306，120.216256,106.10.06營運 到期日:111.10.05
公有收費停車場,A01141,關聖里停車場,臺南市東區臺南市東區裕平路39號旁,06-2289846及0926-700388,30,0,53,2,2,2,0,0,24小時,計時:20元/時 月租2，200元,22.985180，120.240656,(竑穗興業股份有限公司營運
公有收費停車場,A01221,民族路停車場(中興電工嘟嘟房營運),臺南市東區民族路一段與前鋒路口,嘟嘟房02-26550818,10,0,25,1,1,1,52,1,24小時,小型車:20元/時 機車:20元/次 一般月租：3000元/月 身障優惠：1500元/月,22.994362，120.213503,(委託經營中興嘟嘟房停車) 1070410委外
公有收費停車場,A01231,大學路(社E1)停車場(中興電工嘟嘟房營運),臺南市東區育樂街66巷及大學路交叉口,,33,0,52,1,2,2,0,0,24小時,20元/時,22.996367，120.215784,1989平方公尺 1070309公告收費1070410委外
公有收費停車場,A01241,永福路停車場(中興電工嘟嘟房營運),臺南市中西區府前路及永福路交叉口,,12,0,24,1,1,1,0,0,24小時,20元/時,22.989716，120.200256,(委託經營中興嘟嘟房停車) 1070309公告收費1070410委外
公有收費停車場,A01251,停2路外停車場(北側),臺南市安平區臺南市安平區建平16街近中華西路(北側),,73,0,92,2,2,0,0,0,08:00-22:00,20元/時 ,22.996775，120.185680,
公有收費停車場,A01261,崇明路E6停車場,臺南市東區臺南市東區崇明路崇明國中南側,02-2705-7716,46,0,106,3,3,3,0,0,24小時,臨停:20/時(停車時數未滿1小時，以1小時計算收費。停車時數逾1小時以上，如不逾30分鐘，以半小時計算;如逾30分鐘者，以1小時計算。) 月租:2，000元 ,22.968862，120.225587,106/8/12委外經營 到期日:111.08.10 
公有收費停車場,A01271,和平公園停車場,臺南市東區臺南市東區文化路100號和平公園旁,02-2705-7716,35,0,79,2,2,2,0,0,24小時,臨停:20/時(停車時數未滿1小時，以1小時計算收費。停車時數逾1小時以上，如不逾30分鐘，以半小時計算;如逾30分鐘者，以1小時計算。) 月租:2，000元 ,22.976971，120.232186,106/8/12委外經營 到期日:111.08.10 
公有收費停車場,A01281,德光公園停車場,臺南市東區臺南市東區崇德一街德光公園旁,02-2705-7716,19,0,17,1,1,1,0,0,24小時,臨停:20/時(停車時數未滿1小時，以1小時計算收費。停車時數逾1小時以上，如不逾30分鐘，以半小時計算;如逾30分鐘者，以1小時計算。) 月租:2，000元,22.980255，120.219674,106/8/12委外經營 到期日:111.08.10 
公有收費停車場,A01291,崇明五街公兒E37停車場,臺南市東區臺南市東區崇明路與崇明五街口西南側,02-2705-7716,10,0,25,1,1,1,0,0,24小時,臨停:20/時(停車時數未滿1小時，以1小時計算收費。停車時數逾1小時以上，如不逾30分鐘，以半小時計算;如逾30分鐘者，以1小時計算。) 月租:2，000元 ,22.979849，120.217016,106/8/12委外經營 到期日:111.08.10 
公有收費停車場,A01311,泉南里停車場(委由日月亭股份有限公司營運),臺南市東區臺南市東區長榮路一段15巷內,06-2089516,9,0,14,1,1,1,0,0,24小時,每小時20元，月租3，000元,22.983101，120.216025,107.06.01委外收費
公有收費停車場,A01321,臺南市東區裕文圖書館停車場(竑穗興業股份有限公司營運),臺南市東區臺南市東區裕文圖書館東側,06-2289846及0926-700388,10,0,17,1,1,1,30,0,24小時,汽車：每小時20元 機車：免費,22.982001，120.245805,
公有收費停車場,A01341,臺南市東區立德臨時停車場(竑穗興業股份有限公司營運),臺南市東區臺南市東區立德八路南側,06-2289846及0926-700388,49,0,113,6,6,8,110,4,24小時,汽車：每小時20元 機車：免費,22.976673，120.214880,
