,區,路段編號,路段名稱,起迄地點,屬性,所屬區域屬性,屋齡屬性,房屋交易情形,是否為行政區交界,如為交界，是否有繁榮商業區？,是否為主幹道,是否有交通站點,是否有特殊交通情形,特殊較通情形說明,是否有教育設施,教育設施說明,是否有公共區域,公共區域說明,是否有正向設施,正向設施說明,是否有嫌惡設施,嫌惡設施說明,是否有大型商場,大型商場說明,是否有傳統市場,傳統市場說明,是否有便利商店、購物中心,便利商店、購物中心說明,是否有金融機構,金融機構說明,是否有特殊商業設施，如連鎖KTV、健身房,特殊商業設施說明,一般零售或餐飲店集中程度,現行地段率,擬調整地段率,調幅,調整理由
14,東區,752,平實五~六路 全部（路含巷),全部（路含巷）,新編路段,住宅區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,是,否,,否,,是,公園,是,榮民醫院,否,,是,臺南紡織、國賓影城,否,,否,,否,,是,KTV、World Gym,低,140.0,不調整,0,此為新編路段，鄰近南紡購物中心、國賓影城商圈及大灣交流道，未來發展性良好，公告現值每平方公尺逾20萬元，擬按周邊路段地段率訂定。
15,東區,715,德昌路-,#ERROR!,現有路段,住宅區,較新(多數屋齡10年以內),偏熱(介於101至200件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,統一超商,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
16,東區,278,自由路一段-,全部（路含巷）,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,是,否,,否,,否,,否,,否,,否,,否,,是,OK便利商店、全家,否,,否,,低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
17,東區,25,大學路路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,是,否,,是,大專院校,是,公園,否,,否,,是,九乘九,否,,是,7-ELEVEN,是,兆豐銀行、永豐銀行、成大郵局,否,,一般,140.0,不調整,0,經綜合考量現行地段率尚屬合宜
18,東區,706,慶東街 全部（路含巷）,全部（路含巷）,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),是,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,7-ELEVEN,是,台南市東區合作社,否,,低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
19,東區,539,崇明路-,#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,是,是,否,,是,小學及中學,是,公園,是,市立醫院、崇明國中室內spa游泳池,否,,否,,否,,是,統一超商,否,,是,優質健身會館,一般,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
20,東區,306,青年路(北門路一段-勝利路),北門路一段-勝利路,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,是,否,,否,,是,公園,否,,否,,否,,否,,是,7-ELEVEN,否,,否,,高,150.0,不調整,0,經綜合考量現行地段率尚屬合宜
21,東區,563,莊敬路 路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,是,國賓影城,否,,是,7-ELEVEN,否,,否,,一般,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
22,東區,658,裕義路,#ERROR!,現有路段,住宅區,較新(多數屋齡10年以內),偏少(介於11至50件),是,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,全家,否,,否,,極低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
23,東區,541,崇明一街-二十四街-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,是,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,125.0,不調整,0,經綜合考量現行地段率尚屬合宜
24,東區,397,長榮路三段 路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),是,否,是,是,否,,是,大專院校,是,公園,否,,否,,否,,否,,是,7-ELEVEN,否,,否,,高,150.0,不調整,0,經綜合考量現行地段率尚屬合宜
25,東區,126,仁東街-,全部（路含巷）,現有路段,住宅區,普通(多數屋齡介於10至30年間),普通(介於51至100件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,全家,否,,否,,極低,114.99999999999999,114.99999999999999,0,
26,東區,52,中華東路二段(路全部),#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏熱(介於101至200件),否,否,是,是,否,,否,,否,,否,,否,,否,,否,,是,全聯,是,中華信託、合作金庫,是,健身工廠,高,140.0,不調整,0,經綜合考量現行地段率尚屬合宜
27,東區,684,裕學路(巷全部),#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.0,不調整,0,經綜合考量現行地段率尚屬合宜
28,東區,716,德昌一街-,#ERROR!,現有路段,住宅區,較新(多數屋齡10年以內),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0,經綜合考量現行地段率尚屬合宜
29,東區,683,裕學路,#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,是,塔木德酒店台南館,否,,否,,否,,否,,低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
30,東區,281,自由路三段(路全部),#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,是,否,,否,,否,,否,,否,,否,,否,,是,全家、seven、全聯,是,郵局,否,,低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
31,東區,56,中華東路三段-,380巷、399巷-大同路（陸橋兩側）,現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
32,東區,50,中華東路一段路全部(除後甲圓環-凱旋路之雙號),路全部(除後甲圓環-凱旋路之雙號),現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),是,否,是,是,否,,否,,否,,否,,否,,是,國賓影城,否,,是,7-ELEVEN,是,新光東台南銀行,是,World Gym台南國賓店,一般,140.0,不調整,0,經綜合考量現行地段率尚屬合宜
33,東區,329,東興路 巷全部,巷全部,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0,經綜合考量現行地段率尚屬合宜
34,東區,219,永東街-,全部（路含巷）,現有路段,住宅區,較新(多數屋齡10年以內),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.00000000000001,不調整,0,經綜合考量現行地段率尚屬合宜
35,東區,753,平實七~八街 全部（路含巷),全部（路含巷）,新編路段,住宅區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,是,否,,否,,是,公園,是,榮民醫院,否,,是,臺南紡織、國賓影城  ,否,,否,,否,,是,KTV、World Gym,低,140.0,不調整,0,此為新編路段，鄰近南紡購物中心、國賓影城商圈及大灣交流道，未來發展性良好，公告現值每平方公尺逾20萬元，擬按周邊路段地段率訂定。
36,東區,591,富農街二段(巷全部),#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,一般,110.0,不調整,0,經綜合考量現行地段率尚屬合宜
37,東區,27,大學路西段路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,是,否,,是,大專院校,否,,否,,否,,是,香格里拉,否,,是,7-ELEVEN,否,,否,,一般,150.0,不調整,0,經綜合考量現行地段率尚屬合宜
38,東區,280,自由路二段-,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0,經綜合考量現行地段率尚屬合宜
39,東區,51,中華東路一段巷全部,巷全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,是,否,否,,否,,否,,否,,否,,否,,否,,是,超商,否,,否,,一般,110.0,115,↑5,本路段合宜地段率為130，鄰近南紡購物中心、國賓影城商圈，生活機能便利，且周邊鄰巷之地段率至少115上(例如：莊敬路巷全部115；東平路巷全部120)，故本路段地段率擬上調至115。                                  
40,東區,681,裕興街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
41,東區,704,衛民街 巷全部,巷全部,現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
42,東區,549,崇善一街-十三街-,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏熱(介於101至200件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,125.0,不調整,0,經綜合考量現行地段率尚屬合宜
43,東區,57,中華東路三段(巷全部),#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏熱(介於101至200件),否,否,是,是,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
44,東區,320,東寧路西段 路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
45,東區,646,裕農路(巷全部),#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),,是,否,否,否,是,旁邊為國道一號,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.0,不調整,0,經綜合考量現行地段率尚屬合宜
46,中西區,8,大同路二段,#ERROR!,現有路段,商業繁榮區,較新(多數屋齡10年以內),極少(約10件以下),否,否,否,否,否,,是,小學及中學,是,廣場,是,政府機關、國營機構,否,,是,晶英酒店、新光三越新天地(小西門),否,,是,7-11超商,否,,是,錢櫃KTV,極低,,,,
47,東區,661,裕和二街全部(路含巷）,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,125.0,不調整,0,經綜合考量現行地段率尚屬合宜
48,東區,120,文化五街-,全部(路含巷),現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
49,東區,154,民族路一段巷全部,巷全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,一般,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
50,東區,311,東門路一段 巷全部,巷全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
51,東區,316,東門路三段,#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),普通(介於51至100件),是,否,是,是,否,,否,,否,,否,,否,,否,,否,,是,,是,聯邦、土地銀行,否,,一般,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
52,東區,398,長榮路三段 巷全部,巷全部,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,是,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
53,東區,113,文東街-,全部(路含巷),現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.00000000000001,不調整,0,經綜合考量現行地段率尚屬合宜
54,東區,323,東榮街 全部（路含巷）,全部（路含巷）,現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,是,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,一般,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
55,東區,760,崇元一街-,路全部,新編路段,新興開發區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0, , ,屬新興開發熱區，近市立醫院、崇明國中及國小，擬比照鄰近崇明路段增編地段率。
56,東區,315,東門路二段巷(裕農路-中華東路),#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,是,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,110.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
57,東區,321,東寧路西段 巷全部,巷全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
58,東區,555,崇信街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
59,東區,763,崇吉二街-,路全部,新編路段,新興開發區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,,,屬新興開發熱區，近市立醫院、崇明國中及國小，擬比照鄰近崇明路段增編地段率。
60,東區,765,崇吉五街-,路全部,新編路段,新興開發區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0.0,屬新興開發熱區，近市立醫院、崇明國中及國小，擬比照鄰近崇明路段增編地段率。
61,東區,653,裕忠一-三街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
62,東區,314,東門路二段 巷（起點-裕農路）,巷（起點-裕農路）,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,低,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
63,東區,712,德東街-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),普通(介於51至100件),否,否,否,是,否,,否,,是,公園,否,,否,,否,,否,,是,統一超商、全家,否,,否,,極低,110.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
64,東區,161,北門路一段路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),是,否,是,是,否,,否,,否,,否,,否,,否,,否,,是,7-ELEVEN,是,合作金庫、彰化銀行,否,,高,170.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
65,東區,648,裕農一-三街(巷全部),#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
66,東區,542,崇德路全部,#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,是,否,,否,,是,公園,否,,否,,否,,是,崇德市場,否,,是,台新銀行,否,,高,140.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
67,東區,542,崇德路-,#ERROR!,現有路段,商業繁榮區,偏老(多數屋齡30年以上),偏少(介於11至50件),是,是,是,是,否,,否,,是,公園,是,市立醫院,否,,否,,是,崇義市場,是,統一超商、全家、萊爾富,是,遠東商業銀行崇德分行、郵局,否,,高,140.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
68,東區,559,崇賢一路-五路-,#ERROR!,現有路段,住宅區,較新(多數屋齡10年以內),熱絡(200件以上),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
69,東區,322,東和路 全部（路含巷）,全部（路含巷）,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,是, 7-ELEVEN,是,郵局,否,,一般,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
70,東區,537,崇學路巷全部,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,是,小學,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,125.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
71,東區,310,東門路一段 路橋兩側,路橋兩側,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,是,是,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,低,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
72,東區,425,育樂街 巷全部,巷全部,現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,是,中學及大專院校,否,,否,,否,,否,,否,,否,,否,,否,,高,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
73,東區,317,東門路三段-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
74,東區,119,文化三街-,全部(路含巷),現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
75,東區,756,平實路 全部（路含巷),全部（路含巷）,新編路段,住宅區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,是,否,,否,,是,公園,是,榮民醫院,否,,是,臺南紡織、國賓影城,否,,否,,否,,是,KTV、World Gym,低,140.0,不調整,0.0,此為新編路段，鄰近南紡購物中心、國賓影城商圈及大灣交流道，未來發展性良好，公告現值每平方公尺逾20萬元，擬按周邊路段地段率訂定。
76,東區,551,崇善十六街-,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
77,東區,28,大學路西段巷全部,巷全部,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,是,否,,是,大專院校,否,,否,,否,,是,香格里拉,否,,是,7-ELEVEN,否,,否,,一般,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
78,東區,123,仁和路-,"單號:起點-139巷 
雙號:起點-崇善東路",現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,是,否,,否,,否,,否,,否,,否,,否,,是,全家、全聯、統一超商,是,京城銀行中華分行,否,,一般,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
79,東區,662,裕和三-五街全部(路含巷）,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
80,東區,590,富農街二段(路全部),#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,高,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
81,東區,416,林森路二段 巷全部,巷全部,現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,是,中學,否,,否,,否,,否,,是,崇誨市場,是,超商,是,銀行,否,,高,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
82,東區,545,崇德二十六街-三十四街-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,110.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
83,東區,762,崇吉一街-,路全部,新編路段,新興開發區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0.0,屬新興開發熱區，近市立醫院、崇明國中及國小，擬比照鄰近崇明路段增編地段率。
84,東區,671,裕智街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
85,東區,57,中華東路三段-,巷全部,現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
86,東區,303,利東街-,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
87,東區,478,城東街-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
88,東區,153,民族路一段路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,是,中學,否,,否,,否,,否,,否,,是,全家便利商店,否,,否,,一般,130.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
89,東區,719,德信街-,#ERROR!,現有路段,住宅區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,115.0,不調整,0.0,經綜合考量現行地段率尚屬合宜
90,東區,751, 平實一~四街 全部,全部,新編路段,住宅區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,是,否,,否,,是,公園,是,榮民醫院,否,,是,臺南紡織、國賓影城    ,否,,否,,否,,是,KTV、World Gym,低,140.0,不調整,0.0,此為新編路段，鄰近南紡購物中心、國賓影城商圈及大灣交流道，未來發展性良好，公告現值每平方公尺逾20萬元，擬按周邊路段地段率訂定。
