Unnamed: 0,匯入時間,統計時間,區域別代碼,縣市,鄉鎮市區,村里,戶數,人口數,人口數-男,人口數_人口數_女,人口數_0歲_男,人口數_0歲_女,人口數_1歲_男,人口數_1歲_女,人口數_2歲_男,人口數_2歲_女,人口數_3歲_男,人口數_3歲_女,人口數_4歲_男,人口數_4歲_女,人口數_5歲_男,人口數_5歲_女,人口數_6歲_男,人口數_6歲_女,人口數_7歲_男,人口數_7歲_女,人口數_8歲_男,人口數_8歲_女,人口數_9歲_男,人口數_9歲_女,人口數_10歲_男,人口數_10歲_女,人口數_11歲_男,人口數_11歲_女,人口數_12歲_男,人口數_12歲_女,人口數_13歲_男,人口數_13歲_女,人口數_14歲_男,人口數_14歲_女,人口數_15歲_男,人口數_15歲_女,人口數_16歲_男,人口數_16歲_女,人口數_17歲_男,人口數_17歲_女,人口數_18歲_男,人口數_18歲_女,人口數_19歲_男,人口數_19歲_女,人口數_20歲_男,人口數_20歲_女,人口數_21歲_男,人口數_21歲_女,人口數_22歲_男,人口數_22歲_女,人口數_23歲_男,人口數_23歲_女,人口數_24歲_男,人口數_24歲_女,人口數_25歲_男,人口數_25歲_女,人口數_26歲_男,人口數_26歲_女,人口數_27歲_男,人口數_27歲_女,人口數_28歲_男,人口數_28歲_女,人口數_29歲_男,人口數_29歲_女,人口數_30歲_男,人口數_30歲_女,人口數_31歲_男,人口數_31歲_女,人口數_32歲_男,人口數_32歲_女,人口數_33歲_男,人口數_33歲_女,人口數_34歲_男,人口數_34歲_女,人口數_35歲_男,人口數_35歲_女,人口數_36歲_男,人口數_36歲_女,人口數_37歲_男,人口數_37歲_女,人口數_38歲_男,人口數_38歲_女,人口數_39歲_男,人口數_39歲_女,人口數_40歲_男,人口數_40歲_女,人口數_41歲_男,人口數_41歲_女,人口數_42歲_男,人口數_42歲_女,人口數_43歲_男,人口數_43歲_女,人口數_44歲_男,人口數_44歲_女,人口數_45歲_男,人口數_45歲_女,人口數_46歲_男,人口數_46歲_女,人口數_47歲_男,人口數_47歲_女,人口數_48歲_男,人口數_48歲_女,人口數_49歲_男,人口數_49歲_女,人口數_50歲_男,人口數_50歲_女,人口數_51歲_男,人口數_51歲_女,人口數_52歲_男,人口數_52歲_女,人口數_53歲_男,人口數_53歲_女,人口數_54歲_男,人口數_54歲_女,人口數_55歲_男,人口數_55歲_女,人口數_56歲_男,人口數_56歲_女,人口數_57歲_男,人口數_57歲_女,人口數_58歲_男,人口數_58歲_女,人口數_59歲_男,人口數_59歲_女,人口數_60歲_男,人口數_60歲_女,人口數_61歲_男,人口數_61歲_女,人口數_62歲_男,人口數_62歲_女,人口數_63歲_男,人口數_63歲_女,人口數_64歲_男,人口數_64歲_女,人口數_65歲_男,人口數_65歲_女,人口數_66歲_男,人口數_66歲_女,人口數_67歲_男,人口數_67歲_女,人口數_68歲_男,人口數_68歲_女,人口數_69歲_男,人口數_69歲_女,人口數_70歲_男,人口數_70歲_女,人口數_71歲_男,人口數_71歲_女,人口數_72歲_男,人口數_72歲_女,人口數_73歲_男,人口數_73歲_女,人口數_74歲_男,人口數_74歲_女,人口數_75歲_男,人口數_75歲_女,人口數_76歲_男,人口數_76歲_女,人口數_77歲_男,人口數_77歲_女,人口數_78歲_男,人口數_78歲_女,人口數_79歲_男,人口數_79歲_女,人口數_80歲_男,人口數_80歲_女,人口數_81歲_男,人口數_81歲_女,人口數_82歲_男,人口數_82歲_女,人口數_83歲_男,人口數_83歲_女,人口數_84歲_男,人口數_84歲_女,人口數_85歲_男,人口數_85歲_女,人口數_86歲_男,人口數_86歲_女,人口數_87歲_男,人口數_87歲_女,人口數_88歲_男,人口數_88歲_女,人口數_89歲_男,人口數_89歲_女,人口數_90歲_男,人口數_90歲_女,人口數_91歲_男,人口數_91歲_女,人口數_92歲_男,人口數_92歲_女,人口數_93歲_男,人口數_93歲_女,人口數_94歲_男,人口數_94歲_女,人口數_95歲_男,人口數_95歲_女,人口數_96歲_男,人口數_96歲_女,人口數_97歲_男,人口數_97歲_女,人口數_98歲_男,人口數_98歲_女,人口數_99歲_男,人口數_99歲_女,人口數_100歲以上_男,人口數_100歲以上_女
2627,20211201,202109,67000010015,臺南市,新營區,民榮里,2136,5156,2468,2688,10,17,11,14,13,16,21,17,15,10,19,12,16,18,30,19,27,14,18,16,18,20,21,9,31,18,18,22,21,25,27,29,24,26,30,29,23,24,45,18,29,28,41,30,26,31,30,33,34,34,41,36,45,38,39,45,34,40,34,31,37,28,36,43,39,34,39,38,46,36,30,29,26,24,32,37,38,54,53,41,43,57,44,40,49,62,36,39,45,45,37,51,35,44,45,41,22,48,43,38,37,39,25,42,40,39,35,50,38,44,33,39,40,40,38,48,40,37,48,50,31,45,26,47,40,35,29,39,21,32,29,44,35,38,16,33,32,32,31,34,31,36,16,30,30,22,14,21,17,17,11,13,9,15,8,18,15,17,21,18,8,20,9,12,6,12,9,8,3,10,7,9,5,9,4,11,3,9,3,6,2,4,3,6,0,0,2,2,1,5,0,1,0,0,0,1,0,0,0,1,1,0
2628,20211201,202109,67000010016,臺南市,新營區,埤寮里,691,1896,954,942,2,5,2,4,7,7,9,6,5,3,8,8,7,5,4,9,5,8,12,8,4,5,5,3,12,9,14,6,11,6,14,14,11,5,6,10,11,13,13,7,11,16,15,5,12,14,11,12,10,18,6,11,16,14,15,11,11,9,14,11,12,9,12,15,12,12,12,13,17,9,15,10,12,17,12,17,14,17,13,10,13,11,14,15,16,12,18,12,14,12,17,11,6,13,14,12,15,9,11,8,19,12,12,19,12,14,11,14,8,13,16,11,13,13,12,13,16,22,18,24,25,14,8,16,12,17,12,14,18,15,17,19,17,15,14,13,16,11,9,14,14,9,7,6,9,12,9,7,7,6,8,8,8,7,7,6,6,8,5,4,0,9,1,3,3,6,3,4,2,2,6,4,5,7,3,5,5,6,2,3,1,4,2,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
2629,20211201,202109,67000010017,臺南市,新營區,護鎮里,585,1534,778,756,0,6,7,2,3,5,4,5,6,5,10,4,4,5,9,6,8,9,5,6,4,5,1,5,5,7,6,6,7,5,4,8,9,5,7,6,5,9,4,8,4,4,4,9,10,7,7,8,15,13,12,15,13,13,15,12,13,12,13,10,12,12,12,12,12,9,17,14,9,9,13,9,16,5,14,9,7,8,9,10,10,7,11,13,10,4,12,10,13,8,6,8,11,12,10,9,11,8,8,6,12,12,10,8,10,15,13,14,13,13,14,18,11,12,19,13,16,13,23,16,16,11,15,13,16,9,14,14,4,16,16,14,10,10,13,6,9,7,5,12,6,9,10,4,6,8,5,8,5,6,2,3,4,3,9,4,3,5,5,6,1,5,2,3,4,2,4,2,4,10,4,6,0,6,2,6,2,0,1,0,1,4,2,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2630,20211201,202109,67000010018,臺南市,新營區,太南里,823,1898,1035,863,4,1,7,4,5,4,4,3,4,4,11,1,3,2,3,2,2,7,5,7,5,5,4,3,6,9,5,6,13,12,3,5,7,8,10,8,9,11,8,13,16,11,15,16,11,11,10,14,16,11,12,11,11,9,15,14,15,13,11,8,12,13,12,11,8,7,19,12,13,7,13,9,19,9,21,13,14,15,16,15,17,17,18,17,18,14,18,12,22,4,17,9,13,11,14,18,16,6,13,8,12,11,21,8,10,10,18,10,10,19,25,8,16,11,19,13,24,14,16,14,19,10,20,14,21,17,19,18,13,13,17,13,18,10,15,15,14,13,19,12,12,9,12,10,10,10,10,7,2,7,5,6,8,7,7,10,5,5,6,4,4,7,7,7,8,9,6,5,4,7,4,5,2,8,4,5,1,3,1,5,2,5,3,1,2,3,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0
2631,20211201,202109,67000010019,臺南市,新營區,太北里,719,1904,990,914,2,2,6,5,1,3,8,6,6,3,6,6,4,3,6,6,9,8,10,6,8,4,2,3,4,2,5,4,3,9,10,7,10,8,13,11,9,8,7,13,16,12,11,16,8,17,10,11,16,14,14,11,20,16,30,9,25,15,22,10,20,18,18,15,14,13,16,10,12,12,16,14,15,9,11,9,19,14,9,17,18,9,13,14,17,11,10,6,17,8,7,12,12,11,13,12,10,10,11,17,14,18,14,9,15,16,16,20,17,18,23,17,28,18,20,19,16,16,17,20,20,12,19,17,13,16,21,15,15,13,9,13,9,15,11,15,14,10,8,14,11,1,7,6,8,11,8,3,4,6,5,5,5,4,1,7,6,4,3,6,5,10,5,7,6,3,6,10,4,7,0,4,4,2,2,5,1,1,1,4,0,1,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2632,20211201,202109,67000010020,臺南市,新營區,南紙里,1577,4203,2023,2180,10,11,14,12,16,11,13,6,24,22,13,15,15,15,11,12,17,9,18,11,9,20,12,9,8,20,14,18,14,22,19,17,17,21,19,25,32,28,26,25,33,26,34,27,27,16,35,30,25,35,39,38,29,25,44,26,34,42,33,25,35,31,28,27,28,31,36,32,37,26,20,30,35,39,37,21,35,48,39,43,29,33,30,46,30,31,34,41,38,28,41,40,15,24,38,38,37,36,27,37,27,31,25,36,27,42,33,37,22,29,34,30,28,43,41,44,27,43,36,37,29,38,31,21,26,39,25,36,29,25,32,32,19,28,20,36,23,28,20,25,26,31,16,27,9,18,23,25,18,14,4,5,11,7,14,6,7,4,5,3,3,8,5,7,6,4,1,5,1,4,2,6,2,5,2,4,1,5,3,2,1,0,1,2,3,3,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0
2633,20211201,202109,67000010021,臺南市,新營區,嘉芳里,808,2201,1099,1102,4,6,7,11,17,11,11,11,11,7,8,6,13,11,8,8,8,9,10,7,10,7,11,8,3,8,8,9,11,7,7,9,10,9,11,9,9,14,13,8,18,15,15,11,14,13,16,10,13,19,18,13,22,14,12,22,18,16,22,17,15,17,19,21,28,17,19,18,16,18,29,23,16,14,21,29,23,15,15,15,17,20,21,19,18,16,13,15,18,22,14,17,8,12,15,20,7,16,11,14,15,11,15,13,18,18,13,16,18,14,12,18,14,15,21,18,12,26,25,17,13,22,16,15,23,13,10,16,14,12,16,14,14,21,19,14,12,8,12,15,10,5,9,12,6,4,5,5,3,8,3,5,4,5,3,4,6,7,6,6,4,5,5,5,4,5,4,1,4,3,2,3,0,4,0,2,1,3,1,4,1,3,0,1,0,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2634,20211201,202109,67000010025,臺南市,新營區,五興里,733,1727,906,821,5,2,5,6,3,2,5,6,2,3,4,6,3,3,0,3,0,7,5,3,5,1,5,1,4,2,5,6,6,7,6,4,5,7,6,12,6,11,10,16,11,15,10,7,10,8,8,10,10,9,17,10,13,8,9,8,10,15,10,10,7,9,15,7,16,10,11,7,10,9,8,6,8,13,10,6,13,17,9,13,17,10,15,14,13,8,8,12,15,12,7,11,10,8,10,8,9,6,10,10,15,12,15,10,10,13,16,11,26,9,18,26,21,21,19,14,21,19,17,13,25,16,17,12,25,12,22,9,16,8,22,13,16,10,7,8,12,6,8,6,17,11,6,12,7,4,11,5,6,9,6,4,5,7,4,3,4,3,5,11,8,12,7,9,9,6,3,5,6,9,2,9,6,7,0,11,2,4,6,6,3,5,3,6,3,4,3,0,3,0,0,2,1,2,1,1,0,2,1,0,1,0
2635,20211201,202109,67000010026,臺南市,新營區,姑爺里,437,982,524,458,2,2,3,0,1,4,2,1,3,0,3,8,3,3,1,2,2,5,1,3,2,1,4,3,3,2,4,2,5,1,2,1,3,3,2,7,5,9,6,5,7,1,3,5,6,3,9,2,5,7,5,2,3,4,8,3,6,6,8,7,6,7,7,6,7,5,6,2,6,4,8,9,5,4,6,6,10,15,8,11,7,3,12,1,9,8,6,7,8,7,6,4,9,8,7,5,6,9,13,6,5,8,7,9,10,3,5,2,9,7,6,8,11,9,11,15,15,6,14,5,16,11,9,5,9,4,13,11,10,5,9,3,10,5,9,7,9,3,6,4,10,11,5,4,4,9,3,5,3,2,4,2,3,3,5,3,3,4,2,3,2,3,2,10,2,5,0,3,3,5,1,3,1,4,1,2,3,2,0,2,1,3,2,3,1,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2636,20211201,202109,67000010027,臺南市,新營區,新北里,2285,5881,2843,3038,18,19,17,25,25,28,29,35,25,27,29,29,20,22,29,24,27,21,31,40,25,26,26,17,28,22,30,22,23,26,29,21,29,30,23,26,34,38,30,27,29,42,49,31,32,29,52,33,38,45,35,44,45,34,51,46,46,29,27,45,51,37,56,34,56,41,53,45,57,44,45,31,47,58,54,55,51,63,46,67,66,52,69,55,66,66,41,43,46,57,37,30,40,35,26,38,46,35,31,49,35,53,41,54,32,47,46,54,39,50,38,35,33,37,32,48,50,51,34,50,34,50,43,62,33,45,37,50,33,39,42,42,22,48,33,41,38,24,25,32,30,32,23,21,18,32,15,20,18,22,7,15,8,9,11,17,10,19,13,13,7,13,9,14,10,8,5,10,6,3,5,10,4,5,0,2,4,5,1,6,2,4,2,1,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0
2637,20211201,202109,67000010028,臺南市,新營區,新南里,2395,6221,3013,3208,18,18,26,16,32,22,40,19,33,27,38,32,34,31,30,23,30,36,28,25,25,25,24,24,26,27,35,24,30,30,39,33,47,39,36,28,49,41,37,27,53,42,63,55,55,54,49,28,44,34,50,43,43,40,47,47,40,48,36,43,51,41,50,42,57,49,49,53,42,32,48,45,33,52,47,48,60,60,51,51,45,68,58,54,57,61,46,57,51,48,57,54,35,48,58,55,41,56,43,45,38,46,34,64,40,58,49,52,42,48,28,57,42,62,33,58,43,43,33,60,38,47,38,49,35,42,39,48,43,47,37,41,34,31,19,34,29,32,19,46,21,31,27,26,19,19,17,15,7,15,6,11,8,12,9,8,7,14,7,7,6,9,3,4,7,9,3,9,10,5,6,14,5,6,3,5,3,5,3,6,4,1,0,3,0,1,1,2,1,0,1,1,0,1,0,2,0,1,0,0,0,1
2638,20211201,202109,67000010029,臺南市,新營區,新東里,2903,8383,4097,4286,30,16,24,21,38,31,40,32,43,28,52,43,58,48,51,50,56,57,77,53,58,53,58,57,87,94,75,65,71,65,56,58,57,52,53,63,61,52,66,68,84,58,73,78,70,56,70,63,76,65,53,64,65,59,59,51,55,62,47,55,47,49,54,52,55,44,48,58,54,47,57,65,43,49,59,58,57,55,66,57,62,62,77,60,55,82,59,86,74,78,71,99,68,81,70,89,47,88,62,80,72,54,58,79,72,74,65,78,50,54,63,51,48,68,43,54,57,54,59,72,44,63,42,52,32,51,40,47,40,49,42,47,29,43,26,30,30,34,35,38,28,30,29,26,18,18,15,26,18,13,5,10,3,12,12,9,14,7,4,12,5,6,12,12,7,8,3,8,6,6,4,3,3,6,4,9,3,4,4,3,1,1,0,1,0,5,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0
